key,title,year,venue,peer_review_status,venue_verification_url,topic,status,local_path,url,related_work_usage,project_relevance
hydra_2022,"Hydra: A Real-time Spatial Perception System for 3D Scene Graph Construction and Optimization","2022","RSS","verified_peer_reviewed","https://www.roboticsproceedings.org/rss18/p050.html","hierarchical scene graph;incremental construction;global correction","inbox","","https://www.roboticsproceedings.org/rss18/p050.html","foundation","Online multi-layer object-place-room organization and cross-layer correction"
sgm_2023,"Modeling Dynamic Environments with Scene Graph Memory","2023","ICML","verified_peer_reviewed","https://proceedings.mlr.press/v202/kurenkov23a.html","dynamic scene graph;partial observability;object-location prediction","inbox","","https://proceedings.mlr.press/v202/kurenkov23a.html","foundation","Dynamic graph memory and learned object-location transitions"
roomtour3d_2025,"RoomTour3D: Geometry-Aware Video-Instruction Tuning for Embodied Navigation","2025","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2025/html/Han_RoomTour3D_Geometry-Aware_Video-Instruction_Tuning_for_Embodied_Navigation_CVPR_2025_paper.html","dataset;VLN;geometry","noted","papers/2412.08591v2.pdf","https://arxiv.org/abs/2412.08591","adjacent","Data scale and geometry-aware trajectories"
conceptgraphs_2024,"ConceptGraphs: Open-Vocabulary 3D Scene Graphs for Perception and Planning","2024","ICRA","verified_peer_reviewed","https://ieeexplore.ieee.org/document/10610243","open-vocabulary;3D scene graph;multi-view association","inbox","","https://arxiv.org/abs/2309.16650","foundation","Object-level semantic-spatial graph built from posed RGB-D observations"
odin_2024,"ODIN: A Single Model for 2D and 3D Segmentation","2024","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2024/html/Jain_ODIN_A_Single_Model_for_2D_and_3D_Segmentation_CVPR_2024_paper.html","posed RGB-D;2D-3D fusion;cross-view attention;instance segmentation","deep_read","papers_detail/2401.02416v3.pdf","https://arxiv.org/abs/2401.02416","adjacent","Interleaved within-view and 3D kNN cross-view perception; recomputes a selected view set and does not perform persistent belief revision"
hovsg_2024,"Hierarchical Open-Vocabulary 3D Scene Graphs for Language-Grounded Robot Navigation","2024","RSS","verified_peer_reviewed","https://www.roboticsproceedings.org/rss20/p077.html","hierarchy;open vocabulary;scene graph;navigation","inbox","","https://www.roboticsproceedings.org/rss20/p077.html","foundation","Floor-room-object hierarchy limits novelty of generic spatial-context claims"
khronos_2024,"Khronos: A Unified Approach for Spatio-Temporal Metric-Semantic SLAM in Dynamic Environments","2024","RSS","verified_peer_reviewed","https://www.roboticsproceedings.org/rss20/p081.html","dynamic SLAM;short-term window;long-term change","inbox","","https://arxiv.org/abs/2402.13817","foundation","Fast short-term tracking plus slow long-term reconciliation"
covisnet_2025,"CoViS-Net: A Cooperative Visual Spatial Foundation Model for Multi-Robot Applications","2025","CoRL 2024","verified_peer_reviewed","https://proceedings.mlr.press/v270/blumenkamp25a.html","multi-robot;pose;BEV","noted","papers/blumenkamp25a.pdf","https://proceedings.mlr.press/v270/blumenkamp25a.html","adjacent","Spatial priors relative pose and unseen-region BEV prediction"
knot_untangling_2021,"Untangling Dense Non-Planar Knots by Learning Manipulation Features and Recovery Policies","2021","RSS","verified_peer_reviewed","https://www.roboticsproceedings.org/rss17/p013.html","deformable manipulation;recovery policy","skimmed_offtopic","papers/p013.pdf","https://www.roboticsproceedings.org/rss17/p013.html","excluded","Off-topic to spatial memory"
g3dlf_2025,"g3D-LF: Generalizable 3D-Language Feature Fields for Embodied Tasks","2025","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2025/html/Wang_g3D-LF_Generalizable_3D-Language_Feature_Fields_for_Embodied_Tasks_CVPR_2025_paper.html","feature field;3D-language;online update","deep_read","papers_detail/2411.17030v1.pdf","https://arxiv.org/abs/2411.17030","adjacent","Online posed RGB-D feature-field construction and updates"
dinowm_2025,"DINO-WM: World Models on Pre-trained Visual Features enable Zero-shot Planning","2025","ICML","verified_peer_reviewed","https://proceedings.mlr.press/v267/zhou25t.html","latent world model;planning","deep_read","papers_detail/zhou25t.pdf","https://proceedings.mlr.press/v267/zhou25t.html","adjacent","Frozen DINO latent prediction without RGB decoding"
threedmem_2025,"3D-Mem: 3D Scene Memory for Embodied Exploration and Reasoning","2025","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2025/html/Yang_3D-Mem_3D_Scene_Memory_for_Embodied_Exploration_and_Reasoning_CVPR_2025_paper.html","snapshot memory;active exploration;incremental aggregation","inbox","","https://arxiv.org/abs/2411.17735","foundation","Image-centric scene context memory and incremental memory management"
