key,title,year,venue,peer_review_status,venue_verification_url,topic,status,local_path,url,related_work_usage,project_relevance
hydra_2022,"Hydra: A Real-time Spatial Perception System for 3D Scene Graph Construction and Optimization","2022","RSS","verified_peer_reviewed","https://www.roboticsproceedings.org/rss18/p050.html","hierarchical scene graph;incremental construction;global correction","inbox","","https://www.roboticsproceedings.org/rss18/p050.html","foundation","Online multi-layer object-place-room organization and cross-layer correction"
sgm_2023,"Modeling Dynamic Environments with Scene Graph Memory","2023","ICML","verified_peer_reviewed","https://proceedings.mlr.press/v202/kurenkov23a.html","dynamic scene graph;partial observability;object-location prediction","inbox","","https://proceedings.mlr.press/v202/kurenkov23a.html","foundation","Dynamic graph memory and learned object-location transitions"
roomtour3d_2025,"RoomTour3D: Geometry-Aware Video-Instruction Tuning for Embodied Navigation","2025","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2025/html/Han_RoomTour3D_Geometry-Aware_Video-Instruction_Tuning_for_Embodied_Navigation_CVPR_2025_paper.html","dataset;VLN;geometry","noted","papers/2412.08591v2.pdf","https://arxiv.org/abs/2412.08591","adjacent","Data scale and geometry-aware trajectories"
conceptgraphs_2024,"ConceptGraphs: Open-Vocabulary 3D Scene Graphs for Perception and Planning","2024","ICRA","verified_peer_reviewed","https://ieeexplore.ieee.org/document/10610243","open-vocabulary;3D scene graph;multi-view association","inbox","","https://arxiv.org/abs/2309.16650","foundation","Object-level semantic-spatial graph built from posed RGB-D observations"
odin_2024,"ODIN: A Single Model for 2D and 3D Segmentation","2024","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2024/html/Jain_ODIN_A_Single_Model_for_2D_and_3D_Segmentation_CVPR_2024_paper.html","posed RGB-D;2D-3D fusion;cross-view attention;instance segmentation","deep_read","papers_detail/2401.02416v3.pdf","https://arxiv.org/abs/2401.02416","adjacent","Interleaved within-view and 3D kNN cross-view perception; recomputes a selected view set and does not perform persistent belief revision"
layoutnet_2018,"LayoutNet: Reconstructing the 3D Room Layout From a Single RGB Image","2018","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content_cvpr_2018/html/Zou_LayoutNet_Reconstructing_the_CVPR_2018_paper.html","room layout;vanishing point;Manhattan geometry","noted","","https://openaccess.thecvf.com/content_cvpr_2018/html/Zou_LayoutNet_Reconstructing_the_CVPR_2018_paper.html","adjacent","Vanishing-point-aligned room boundaries are observation cues, not persistent node identities"
planercnn_2019,"PlaneRCNN: 3D Plane Detection and Reconstruction From a Single Image","2019","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content_CVPR_2019/html/Liu_PlaneRCNN_3D_Plane_Detection_and_Reconstruction_From_a_Single_Image_CVPR_2019_paper.html","plane instance segmentation;single-view reconstruction","noted","","https://openaccess.thecvf.com/content_CVPR_2019/html/Liu_PlaneRCNN_3D_Plane_Detection_and_Reconstruction_From_a_Single_Image_CVPR_2019_paper.html","adjacent","Piecewise planar region proposal baseline; no persistent belief association or dynamic write gate"
slot_attention_2020,"Object-Centric Learning with Slot Attention","2020","NeurIPS","verified_peer_reviewed","https://proceedings.neurips.cc/paper/2020/hash/8511df98c02ab60aea1b2356c013bc0f-Abstract.html","object-centric representation;slots;competitive attention","noted","","https://proceedings.neurips.cc/paper/2020/hash/8511df98c02ab60aea1b2356c013bc0f-Abstract.html","adjacent","Learned object slots motivate grouped tokens but do not define world-aligned surface persistence or versioned writes"
neuralrecon_2021,"NeuralRecon: Real-Time Coherent 3D Reconstruction From Monocular Video","2021","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2021/html/Sun_NeuralRecon_Real-Time_Coherent_3D_Reconstruction_From_Monocular_Video_CVPR_2021_paper.html","3D reconstruction;feature volume;recurrent fusion","noted","","https://openaccess.thecvf.com/content/CVPR2021/html/Sun_NeuralRecon_Real-Time_Coherent_3D_Reconstruction_From_Monocular_Video_CVPR_2021_paper.html","adjacent","View-independent 3D fusion baseline; optimizes coherent geometry rather than typed belief updates"
planarrecon_2022,"PlanarRecon: Real-Time 3D Plane Detection and Reconstruction From Posed Monocular Videos","2022","CVPR","verified_peer_reviewed","https://openaccess.thecvf.com/content/CVPR2022/html/Xie_PlanarRecon_Real-Time_3D_Plane_Detection_and_Reconstruction_From_Posed_Monocular_CVPR_2022_paper.html","plane tracking;multi-view fusion;global reconstruction","noted","","https://openaccess.thecvf.com/content/CVPR2022/html/Xie_PlanarRecon_Real-Time_3D_Plane_Detection_and_Reconstruction_From_Posed_Monocular_CVPR_2022_paper.html","foundation","Direct precedent for cross-fragment plane association and fusion; lacks candidate/fact/versioned dynamic belief semantics"
